Marital_Status_Married,Marital_Status_Single,Attrition_Flag_Existing Customer,Gender_M,Education_Level,Income_Category,Card_Category,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct,Credit_Limit
1.069044968,-0.921797691,0.439813712,-0.951189731,0.834711812,-0.89394061,-0.246606624,0.491017585,-0.25785906,0.02220981,-1.164956246,0.669238859,-0.415531668,-1.446909968,0.120064094,0.941898254,1912
1.069044968,-0.921797691,0.439813712,-0.951189731,-0.499270774,-0.89394061,-0.246606624,-0.424833557,-1.872632037,-0.103210292,-1.805996024,-1.359398036,-2.222191093,-0.121630058,0.943320244,1.406924462,8401
-0.935414347,1.084836738,0.439813712,-0.951189731,1.501703104,-0.89394061,-0.246606624,0,-0.25785906,0.02220981,1.399202865,-0.345079588,-0.415531668,1.583522712,0.173867905,0.815072925,2759
-0.935414347,1.084836738,0.439813712,-0.951189731,-1.166262067,-0.89394061,-0.246606624,0,-1.065245549,0.02220981,-0.523916468,0.669238859,-0.415531668,0.258242801,-0.007792272,0.434596936,7075
-0.935414347,1.084836738,0.439813712,1.051314966,-0.499270774,0.602194302,2.7501321,-1.079012945,0.549527429,-0.354050495,1.399202865,-1.359398036,-0.415531668,0.743160888,0.028076935,0.561422266,34516
1.069044968,-0.921797691,-2.273689911,-0.951189731,-1.166262067,-0.89394061,-0.246606624,0.098509952,0.549527429,0.147629911,-1.805996024,-0.345079588,-0.415531668,-1.446909968,-0.59095615,-1.214132347,1438.3
-0.935414347,1.084836738,0.439813712,-0.951189731,-0.499270774,-0.89394061,-0.246606624,-0.29399768,-0.25785906,-0.604890699,-0.523916468,-0.345079588,0.487798045,1.030203081,3.611237134,2.083326219,4182
-0.935414347,1.084836738,-2.273689911,1.051314966,-1.166262067,-0.145873154,-0.246606624,1.014361094,-0.25785906,1.778091234,-1.164956246,-1.359398036,0.487798045,1.627495133,-0.808196266,-1.256407457,3682
-0.935414347,1.084836738,0.439813712,-0.951189731,-1.166262067,-0.89394061,-0.246606624,-0.424833557,0.549527429,-0.479470597,0.758163087,-1.359398036,-1.31886138,-0.847175004,0.167793281,0.899623144,1438.3
1.069044968,-0.921797691,0.439813712,-0.951189731,0.834711812,-0.89394061,-0.246606624,1.930212236,-1.872632037,0.02220981,1.399202865,-0.345079588,0.487798045,0.853091941,0.105889972,0.857348034,2035
